               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097973,            0.031606,                   0,            0.065194,             0.23446,            0.037151,           0.0068839,            0.082686,            0.022515,                   0,           0.0032353,           0.0032353,            0.070882
                   1,             0.07064,            0.036504,                   0,             0.13862,             0.26131,            0.099138,            0.024079,            0.071246,            0.028636,                   0,           0.0065621,           0.0065621,            0.040876
                   2,            0.064257,            0.031775,                   0,             0.37173,             0.36683,             0.27874,            0.086237,            0.066294,            0.036854,                   0,           0.0098824,           0.0098824,            0.010863
                   3,            0.054686,            0.030662,                   0,             0.37747,             0.35678,             0.30918,              0.1049,            0.055212,             0.02855,                   0,           0.0099703,           0.0099703,           0.0099703
                   4,             0.04924,            0.028278,                   0,             0.50924,             0.50251,             0.49258,             0.16981,             0.04983,             0.02422,                   0,           0.0099703,           0.0099703,           0.0099703
                   5,            0.045819,            0.029277,                   0,             0.55096,             0.47739,             0.49529,             0.16627,            0.054362,            0.018783,                   0,           0.0099604,           0.0099604,           0.0099604
                   6,            0.044697,            0.028029,                   0,             0.63575,             0.52764,             0.57527,             0.20186,            0.051343,            0.018644,                   0,           0.0099505,           0.0099505,           0.0099505
                   7,            0.042749,            0.027535,                   0,             0.59621,             0.54271,             0.54314,             0.20537,            0.049431,            0.018944,                   0,           0.0099406,           0.0099406,           0.0099406
                   8,            0.041532,            0.027197,                   0,             0.55167,             0.56784,             0.52958,             0.18423,            0.053202,            0.018572,                   0,           0.0099307,           0.0099307,           0.0099307
                   9,            0.042143,            0.026594,                   0,             0.46524,             0.54774,             0.49435,              0.1796,            0.051675,            0.020798,                   0,           0.0099208,           0.0099208,           0.0099208
                  10,            0.039646,            0.025839,                   0,             0.55123,             0.51231,             0.49532,             0.21745,            0.047387,            0.019778,                   0,           0.0099109,           0.0099109,           0.0099109
                  11,            0.039156,            0.025634,                   0,             0.54894,             0.56264,             0.52167,              0.2032,            0.050847,            0.019531,                   0,            0.009901,            0.009901,            0.009901
                  12,            0.039459,            0.025647,                   0,             0.59975,             0.43719,             0.45465,             0.16161,            0.056384,              0.0198,                   0,           0.0098911,           0.0098911,           0.0098911
                  13,            0.037981,            0.025707,                   0,             0.58918,             0.54771,              0.5459,             0.20794,            0.048178,            0.019446,                   0,           0.0098812,           0.0098812,           0.0098812
                  14,             0.03732,            0.025042,                   0,             0.46257,             0.56281,             0.42678,             0.17189,            0.047853,            0.020414,                   0,           0.0098713,           0.0098713,           0.0098713
                  15,            0.038129,            0.024887,                   0,             0.59744,             0.52261,             0.51432,             0.19548,            0.049557,            0.020995,                   0,           0.0098614,           0.0098614,           0.0098614
                  16,            0.035667,            0.023899,                   0,             0.53897,             0.55276,             0.47979,              0.1739,            0.050742,            0.020938,                   0,           0.0098515,           0.0098515,           0.0098515
                  17,            0.036238,            0.025075,                   0,             0.58235,             0.53251,             0.52876,             0.18267,            0.052874,            0.018958,                   0,           0.0098416,           0.0098416,           0.0098416
                  18,            0.036342,            0.023874,                   0,             0.56336,             0.55276,             0.54413,              0.2257,            0.049946,            0.019723,                   0,           0.0098317,           0.0098317,           0.0098317
                  19,            0.035622,            0.023312,                   0,             0.56324,             0.64322,             0.55296,             0.20998,            0.049616,            0.019959,                   0,           0.0098218,           0.0098218,           0.0098218
                  20,            0.034281,            0.023331,                   0,             0.58328,             0.59786,             0.53425,             0.19791,            0.051414,            0.021093,                   0,           0.0098119,           0.0098119,           0.0098119
                  21,            0.034085,            0.023731,                   0,             0.56826,             0.52261,             0.53683,             0.21229,            0.048317,            0.020869,                   0,            0.009802,            0.009802,            0.009802
                  22,            0.033903,            0.022573,                   0,              0.4958,             0.60302,             0.49645,             0.19668,            0.050874,            0.021708,                   0,           0.0097921,           0.0097921,           0.0097921
                  23,            0.034355,             0.02185,                   0,             0.70951,             0.44724,             0.48979,             0.15431,            0.056146,            0.021111,                   0,           0.0097822,           0.0097822,           0.0097822
                  24,            0.033825,             0.02196,                   0,              0.5618,             0.59272,              0.5223,             0.20779,            0.049284,            0.022567,                   0,           0.0097723,           0.0097723,           0.0097723
                  25,            0.033363,             0.02307,                   0,             0.61018,             0.52764,             0.51694,             0.21142,            0.048105,            0.021141,                   0,           0.0097624,           0.0097624,           0.0097624
                  26,            0.033386,            0.021765,                   0,             0.54967,             0.63819,             0.55287,             0.22229,            0.047351,            0.020038,                   0,           0.0097525,           0.0097525,           0.0097525
